7879	956f	3b91	be21
7518	a27c	a092	f37c
6f0e	ff54	af9e	229e
8802	378e	6af8	fa0c
2279	55fb	0217	9976
04a1	2c3b	e486	8064
ce24	bc8a	17d6	07e7
59a6	8b02	e7a8	a688
8e37	1d07	ee05	f5cf
35ad	60e0	a477	4573
25a8	8014	de18	ff51
4afd	a22a	dbdc	bfa3
0974	7094	bfac	9059
76cf	a93a	2370	cd29
88fa	fd63	145a	d7f3
d004	049b	9592	962e
be77	e44d	dae5	427b
c02f	176a	b4ba	9744
d680	62ee	d6a2	7fb6
d31e	a4d7	fecd	c55f
6793	7ca1	63e3	41bd
dbb4	adff	c870	6689
91e8	bf8c	3741	d292
f642	b956	c61f	83b7
b837	d47d	c5ad	3c97
c95f	acf5	113d	d265
4c5a	90f3	7fb1	d4bd
0859	3735	bb5e	8017
7b30	644b	b580	612e
77d2	2778	8da8	8208
065c	24ad	0610	90f7
1557	8ee3	0a20	7d3b
120c	ccf6	75e8	2dd3
a8e4	7e9c	c80f	a43d
4903	671f	6982	68fd
885a	8d9c	c1e9	8d55
2a61	fb52	b821	8317
6f9b	4a61	234a	f21b
aa7f	f434	0fe0	74c2
d94f	e7d7	bc66	c99f
73f7	c27d	be96	cef2
bb13	784d	f965	53b8
8e7b	076d	c491	ad0a
791b	3e72	96f9	d9f9
29b9	2c6c	179e	22a5
9622	f6c2	3cf6	5e35
2fbb	c866	a2e0	c8a1
12f5	d046	3875	c58c
cc41	8b98	bb1c	5562
a243	376a	61c3	4e73
74ab	b0b5	e62b	f8aa
93e3	1935	1e28	2d58
2b1c	5899	912b	a314
288c	4e92	9779	0626
9452	5ebe	d214	f190
5091	60f2	4d83	d8f6
9d7a	d07e	4e72	ca92
1122	fcb7	a788	008a
b73d	a007	bae9	a736
d60f	4b9f	95d0	1b5d
085c	4626	7c14	531d
83a2	2bc7	6129	22ed
2d74	4410	e512	149e
ccde	5532	171b	1e03
9a2d	6f14	6cd4	429a
c7f9	f2f9	f673	c69d
619e	4c7d	62c5	9768
e6a6	6642	3c74	b8a7
141b	d35f	51fb	2fc3
3c24	0249	83b7	888a
b10d	5770	8264	ccfd
c77e	0ee9	f3de	357a
28f7	7d6e	1049	017b
4f22	29a3	0175	2f2d
e523	0c49	775b	6e5f
dfa0	c36c	92e7	fe1c
4607	f394	aed1	46dd
5a68	8a0e	93ca	550b
9c24	2913	62fe	125d
3842	488e	1b7a	5b37
f7a8	fa47	a5be	645f
ed00	5d1d	0141	df7a
8731	7205	455f	d1ac
d9b1	9e63	b684	0ed8
aacc	eb3c	c806	5741
c7d0	ecd2	6cc5	22c9
4ab4	2439	1df1	0d92
e05e	8d7c	aaf3	2a98
7a56	7b74	b489	1dee
0a79	9faa	738e	4916
5def	0f9f	f57a	bee8
9524	7d06	83b7	6f1d
effe	3651	04b1	4dfa
f6cc	22a7	d4ca	d363
d767	3a54	aefa	dd32
2d5f	f4cf	e992	c4c9
7988	f5f5	c64a	deaf
92a3	8da7	6d23	a2c5
af02	acf0	7fde	4225
29d2	b46d	ba93	98a9
d496	9c57	44f8	bc3b
030e	0c36	6f0f	ef1c
b874	7612	bc41	cfc5
36e4	45a1	d290	adef
68fd	beff	f4a5	b46b
8ffa	26e3	417d	8b78
d07d	0367	cc30	290e
81f7	0b66	cc9a	b81e
1f20	14b2	42d6	ba67
a120	7b78	0dc4	75d1
18c8	97a1	7cc3	a981
d5e0	a67e	cf21	f2e1
9f82	e789	78b4	a2a2
d94c	7015	2504	7f12
e4c9	a28e	870b	3c2f
f38d	fa3e	9f36	683d
845b	5c2b	0d50	5376
e416	7324	11d0	8298
bd4f	7ff3	92f6	4c6b
139c	babb	5523	40fd
151f	61a5	f854	47cb
3130	ee8f	bfea	8d7d
344e	c501	35f8	e7c1
4390	a6f9	f712	0ca2
5018	cd9e	9043	5109
33ac	0ce3	ecd2	f11f
10f3	318f	180f	51e5
6d66	de8a	e0be	f7d5
2c94	2259	6f19	8cb9
6a84	14d8	64c0	a84d
9b10	eaca	ad74	ea7b
1345	9928	9b6a	3e44
4c3a	b662	8966	4db6
8266	55cd	26f4	12cf
80bc	96c3	c33a	8123
1644	2e05	681b	5d2a
23c5	d4be	4402	2c7a
0615	ff5c	edab	a5af
26ad	7d3e	9f0d	f075
f804	170a	0374	d5ae
2143	fcce	b1dc	a11c
8aae	3a46	5be2	efb6
38e8	11dc	5cbb	8983
b022	2e31	9a81	7fe2
7f63	df0b	854b	f042
2c95	294a	94d4	27d0
0d6c	2686	ff17	e276
257c	01cd	bdfc	34b2
036c	32eb	2ff3	2c25
b9ef	6094	4371	4b33
0238	7a10	e9ba	cb78
01b1	832c	9d56	fdb8
555f	3abd	f14a	c9f1
f8a4	72e3	a71d	6b9e
ca81	e1fe	a277	b613
f7fe	3aaa	29ed	d521
f9d8	a49b	6c15	57e0
4cb0	5732	c0ff	b17a
50b7	10af	cf07	d4b4
af89	761f	f447	21f0
9961	2755	a410	5904
7216	8349	9cef	3147
91af	836c	9d61	eb14
6eb9	b824	771d	62cc
45da	3c34	c6b3	caac
81ab	2ca4	310e	881d
4d5d	3917	3530	9eb1
cab1	7a1a	b92b	9643
bf28	95de	66b5	1629
09bc	4f76	74bf	e635
c7a1	3c8d	eb58	fa2d
4628	8085	83c0	76f9
2519	0cc8	89ff	86ac
b01f	266a	110e	fe82
fd3d	fbfa	5be8	dbcf
893a	2a1f	82cf	9167
785f	9040	bfc7	bd2c
3c8d	c10f	3281	0305
90ff	18e0	6b5e	9ee1
a8fe	ffc3	9780	4b8f
52fb	cb8d	bb4b	1b29
572e	3bb1	8f8b	29f0
c9eb	bb32	cb9e	903c
1196	01e5	a465	66cd
3ecb	59f1	7f3c	7262
7618	5a75	6635	b3f1
08d3	de61	3d34	75d8
ac89	44d1	f1d8	1e8e
b63b	7fd6	b614	42c3
010e	148c	5079	4552
3a5c	d83b	f630	2460
81fc	15e7	514a	ca9b
6037	d8a0	97b2	2608
7130	2e60	f118	51cf
bd49	84ed	fba7	592e
3929	8ddc	44fe	14a7
be35	c92b	3710	9a6b
ee05	063b	88ce	bfb0
5d0a	832f	f8e4	188e
7101	fad6	c0f2	d6ac
db83	0a5b	8d06	663b
01fd	4c2d	82a5	ebfe
dce3	fc4d	ad72	5775
0231	f360	207d	f42a
f7c0	5235	6327	74c2
eb2d	ed61	6983	38b7
e2ea	140b	31c0	616d
0bd0	4813	26be	b967
bd61	7862	c099	4b58
4d78	8bb8	fb98	da9c
3761	858d	52c3	0e0f
1e00	094f	f273	da59
2f80	d1a0	affe	f935
7388	6540	021c	855f
9f15	5585	f44d	33b5
a1b8	8e16	4099	8b4d
1ad6	dcad	2dff	25df
26c6	eb72	1fcf	e58e
3c9f	c884	d1b0	496b
485f	706f	0e56	72b1
3964	678b	1948	7dca
f582	32f5	d7ba	9dfa
f6d3	faec	7846	bd74
7262	1a79	0373	f181
88e3	c5bd	1049	ee78
5bec	0e85	b7fc	596c
6ea1	1a42	1683	a9a8
0e82	ed41	47ad	5d74
eefc	9500	e9f3	f692
848d	de48	39b4	7adf
54da	b6f5	26b8	7873
ca13	2cf3	c79e	1e39
ba58	fbf0	10ca	51fa
8b77	8419	a54b	6206
1c88	e6b1	a94c	c1fe
520d	a457	7612	501b
9b02	274d	f922	70f5
e931	2235	5b7b	2a82
42dd	548a	ba04	15fc
4c49	9004	f62a	bdc6
3110	589d	0def	a8af
fcfe	6b13	d4de	82cc
6633	1bb0	1132	4c2a
af19	31ea	cbc8	7036
3c2e	b2eb	b69d	1783
df01	e6fa	93d3	04b8
eb62	6698	1d37	5102
e343	e3cf	1450	9bc9
d200	f8e7	76c1	bbfd
68b5	8a34	e81e	8136
321d	0e1d	ec38	ff99
0e57	3cdb	3fe7	4c11
1111	f5bf	d6cd	cded
c116	8f94	7b47	1328
b11b	61bc	b3da	77f9
0a05	250d	4d06	97be
4e15	316e	1b43	bb7f
16a1	0cd2	6d7f	d69d
5e23	19f5	18c5	c1eb
44cb	0ddc	620b	395c
71c2	e24a	4a16	2231
1857	0086	1e71	39a2
f9a0	e2fe	ba26	2618
8018	ac95	73be	3137
12bb	6144	6b76	d351
6c01	a336	94a6	4f01
c8d9	b733	858c	3850
f228	5f82	2943	f692
60cf	9000	78b8	1458
b7d4	0391	fd9c	b51e
4624	283c	024b	65de
2edc	7d92	6866	290b
b352	c96c	3541	1385
f212	c21b	590e	ab88
e370	d6d8	d09e	6f8d
b868	93a3	5df6	5755
47c4	1290	f572	d190
3568	f109	1755	ebb0
d712	cbe2	cb05	229e
1197	8f0f	77d3	fa1e
f2ef	095b	fa43	6415
921d	d9bb	0783	7b44
7be7	8c06	5ec3	59c6
42f4	e867	d538	0f82
3a8b	12a2	2743	f226
9f77	f9e4	f6ac	9f02
364d	464f	0c69	f647
cf4c	5ea5	1865	c15e
df5a	b0aa	c60d	fc9c
ac0c	2856	6038	2e2b
c86f	232a	21d4	ac49
2b19	99dc	533e	4f57
f238	a257	916b	ad91
5ea3	d699	d35e	efa6
195a	4e11	3434	5fb9
06dd	b626	ad39	7083
0b07	d33e	d993	7838
2a01	fd5e	b6f0	05a9
2c49	a9b3	ec1f	2a1f
f19d	d8f1	d9fa	28e4
1201	1591	613e	d39a
f91a	7903	8594	3c0f
56f8	e77e	325d	c3c9
7b1b	5df1	dd2e	6375
fc50	cdb9	351b	4fe3
511d	513d	3122	e659
3edb	de86	fba5	9a4c
ce57	0884	a7c4	a9b9
b9aa	3e38	4a82	783d
e323	4619	8b03	9dab
0d3d	9333	7ede	bc80
aa1f	14bc	956e	7f96
3037	c118	8c92	1e0f
8a86	128c	bb1d	a501
3dbe	cd20	6ea8	f805
439f	138d	9fe3	db64
8b0f	eb4f	e3d6	1d3a
cfed	cd26	60bf	a675
3d49	a55d	c6d3	8b4f
b70c	808a	639b	6609
b5ad	9eef	8661	bb56
4408	b4a9	6511	2fc4
c456	93d2	04b7	f575
1032	b057	45dd	dcad
efce	de07	d9fa	a996
b06e	e70a	bb69	0539
6d94	8497	60e0	4076
02d6	c5a6	28e7	1b4c
76f5	8be1	855d	142d
435e	7969	4429	2327
0c0f	a1f6	a955	2bd8
61f0	2b03	113c	1010
3f14	b9c4	e4b4	e935
7af4	f7fa	74bf	ed54
62ad	6dea	79a9	dcf2
324c	d62b	c603	4574
9c38	adac	617a	99e5
2f89	f9ce	e527	c723
489f	1154	4b8a	f89c
b2eb	8b5d	90c9	bfee
aabc	bd42	51b2	7575
bf09	683a	66bb	e9c7
1663	b9a2	cdcc	fdc8
f8e0	429c	9005	33b5
1344	7edc	eba0	9ce6
37f7	8b7c	6966	68c9
e315	5652	369b	0e98
cf84	99c0	eabb	b3da
85a5	ef4c	7f0e	e59b
97d9	11c7	925e	f1e5
c074	c196	e880	e026
d7f3	f5ec	2bf3	15a8
a036	574f	3279	768b
e461	8a2c	49c9	625a
3800	dcbe	b4d5	e7ce
8628	27ea	7308	a32e
fa53	b6cd	f9b1	a874
1bc0	b911	6461	1424
59c8	be16	8d94	e2e3
392e	6287	d046	6b52
4d87	5301	3aed	fee2
1071	ab79	274f	0c1c
c052	1c8a	6000	89a1
f49c	1035	0d68	835e
53e9	5a42	1065	74bf
0588	c623	377f	4b5e
e01c	807e	3c94	a777
ff5d	a9cb	47cc	4259
7152	6a1a	43c8	e9d3
0790	77dc	011a	6e34
74a2	f57e	03a5	f48c
fbe0	4e1b	ef2f	c402
1cdd	0dc2	eb8b	5094
5501	6cf7	e5d4	6b0a
eac0	313c	8fbf	a9e4
aefe	6c31	abb5	3723
36bf	2a7a	7fdb	695d
88cc	4eff	41d4	95eb
cb1b	d6da	4150	597a
49eb	df7d	e6c9	229a
e9cb	65fd	ae27	d8db
ca83	6488	7e9b	fa62
833b	45af	69de	6a80
53c5	4ad5	f16b	2580
1168	3f66	c767	c20c
fa47	8bee	e0c5	0fb4
879c	6781	c4f4	74a8
7ce0	7547	0720	b4c4
cc3b	2791	ab4d	eb80
8a5c	3f89	3645	3abb
cb78	60c7	f46f	7735
d611	636e	48e2	09a2
4986	8dd7	d504	ff5f
dee8	d213	3ddc	c488
dfe0	2b6f	c7fc	0993
59fc	ef59	babd	34d7
fb1d	e111	3c5f	a73a
15ba	4ac3	0c85	f716
9714	7573	adc5	934e
a94d	2f42	bdbb	760b
192b	b2c6	3025	0ce6
f00f	3c32	3b3e	99e5
eba9	5a8f	e61b	27e3
688c	8139	1db2	5f8e
07c4	d2c9	ef3c	30dc
875f	9b91	b1ca	7cbc
fe20	8efb	c4f6	153c
fe97	2f83	c778	dac4
816c	f766	1b42	7965
27dd	34e2	1671	0db6
56cc	5492	8e6c	a802
bdc2	191f	f613	f9d8
fd0e	ee02	6342	cc86
06a3	c95d	3710	00e1
41d5	efdd	408a	15ad
f47c	3993	77de	4f34
af9b	8a9d	3315	a50a
aa82	dfed	6cec	7ed0
627a	1fbe	5b7b	7c80
8c8c	7160	c4a2	b484
1bf8	931c	4cbf	1af3
e642	dfff	814c	2f7c
6d7f	8b32	a31d	1dc1
3b4f	8a88	70e2	0d36
9f4e	d5a1	89b4	07c0
c8e7	ad5f	b8d5	08f2
78e7	0750	a5ca	bc9c
3611	580f	fd54	7380
d205	a2b7	7ff8	53bc
5824	7e47	9d34	b1af
4d3d	bffe	efcf	1995
c1d2	d549	c97f	b43a
7d81	50fd	e009	2564
e890	f752	bfde	02f4
138a	491f	f8ec	453f
71f6	630b	e14e	8fd5
0614	fdd0	6b40	1d82
5043	53a7	f060	0cf4
a115	5335	53ed	8312
a269	7928	e8a2	208d
048c	ca64	6459	c8c0
ec0e	420a	aed4	5fc0
c6b6	9ac4	8fc8	0a18
824d	54ed	6a75	c1b1
6564	e2bf	ad5f	7d7e
acc3	793b	a030	d9f4
f62b	f916	bb80	5696
998b	bf3f	d014	3041
9420	cb9a	3208	dd5c
1dc5	954f	9dec	6d6e
1de1	0dac	511c	f60d
3914	7d41	d321	3b4c
af5f	c450	4553	7b95
c2c5	9b04	7f16	1565
5415	7b82	8307	1ddc
8f82	19f4	fa42	5fbe
e3e9	9354	12ba	4580
d79c	e7d0	68de	3067
bfb9	5030	d6d4	8cbe
f659	a0e5	124a	ba0d
c6d8	7bd8	13da	b7a0
12fd	4ab2	5048	95fb
1fa4	830b	90e0	9ba7
45ca	4584	1010	00cc
c956	ed04	43b1	2f50
c8ba	1497	6f32	984e
8bc8	d7f6	2fee	8fd7
01be	0f72	df06	4431
b54b	1e58	abcc	1b0d
21a6	8540	476e	172b
2f71	2d8e	a9d4	36e3
09ff	1091	24c3	9381
8b82	5493	eb5a	95d7
aadc	f66c	8746	2434
4cb7	a6fe	47cd	ce6c
9dad	1f7f	9daf	bb4a
137e	790b	7e59	deac
c0a0	4790	f81a	59f4
a61b	f63d	899b	4731
e949	5e16	0213	bf5b
cce3	de40	4a01	6213
eb8f	a9f9	f297	4dff
394d	0449	fe17	b64e
1804	939f	80e5	7467
b9aa	898f	c0ad	6b99
1742	8df4	9fd7	42af
2f0b	c5f6	cab6	a0fa
7ffd	9c66	637c	217d
7561	c1c8	9176	7c83
3cb3	49e1	a4e5	bfc0
0881	b436	a8cc	e532
245e	01aa	e867	2265
28c9	106a	f0fb	4ae2
ed4a	45f4	3f47	8b08
5834	00fc	8323	b348
fcb8	15b3	ed03	93d6
c9f7	4954	b532	a4f5
6c10	ba52	4f74	2f97
a2e6	af1e	bd0c	fe4f
705c	81fd	77a1	6d68
25fe	d834	42ac	4d2b
efb3	8184	2bc6	fdeb
753e	7603	0f96	1ba6
6f88	2892	07ee	b2cc
5a47	8311	aaf3	c8c5
037e	71db	6f46	5dbe
b0b3	3b74	1508	499f
360a	3719	0b71	a063
9ce9	b02f	9fe2	24f9
0c37	97e2	9e25	80f0
a6d2	5b26	38b3	7553
fa68	bcd2	4659	af4e
73b2	506c	4c52	83aa
2d3c	0d72	a8f0	861e
3d84	e893	f6d7	d675
b1c7	f1f9	b164	8afb
aebd	5f0e	dfb8	9597
7f19	a32f	c101	0472
fc27	59d3	7a33	47a5
9fc1	84c9	8dfb	178b
969d	2b1c	52ac	4cca
b2c0	0490	7f83	75f6
6a63	0aa6	9c75	f8c8
5a0e	89ea	5a44	8ae1
eb3a	0a5b	d7f0	a231
9985	ffdf	ae0f	5dc0
0d30	4b4b	0536	5b4f
5ce5	be87	4d0b	c9aa
f34c	a441	d2d6	6999
5479	3554	d59c	a5f3
aea6	c2f2	cd6b	a3f9
33a3	7c59	ebc5	0d9e
4bc8	6d53	c845	c139
f42f	721d	a5da	c8b9
8711	9082	8ac8	4405
1cc4	eaa2	5cd8	fc0c
4dd8	656c	3c26	eb51
bed7	90dd	f2c7	c9df
798a	ec32	c830	809e
2134	8d88	f57b	2f31
29b1	4dbc	c719	542f
c020	1363	4913	db55
467b	ab65	967a	484b
5123	922e	7420	2588
630e	a2d9	bf18	aa73
59d8	ce13	19e2	b569
9813	593a	6883	d361
c171	dc05	f366	75e7
24a5	6c25	701d	f192
c011	5228	efe6	7096
105e	ebb2	e9a2	8498
0441	532a	e48a	dd1f
6a69	1152	9802	c4e3
7d6e	6a03	73d7	6524
806d	6bcd	2ac5	0885
1712	2728	29f0	4892
c7dd	115f	6ee9	dd81
e5cf	ac6d	597f	3bb1
9396	5ea1	a4cf	37d7
0360	d828	e7be	bfe9
b96a	9fe1	6af5	f1f5
c568	88c7	f726	241e
57ac	2f71	eb2c	c494
0ce4	eaf9	27cc	21b5
5325	99a8	13c6	775a
c4f0	00dd	c38a	a8a3
7f42	3138	705d	a420
6048	1e03	ff71	88d6
d049	b753	a45b	8fb5
a0db	ce16	4425	575b
c4c6	f93c	c28a	255b
1f7f	38eb	754f	eb74
c8d1	3bce	d7d9	adad
a6e2	7157	690f	3096
88b9	5ece	c314	eb55
4743	1edf	22a7	6194
8ad4	936d	0645	77ca
6b73	35f8	5f1e	32ca
9c0d	1ea9	80ec	0567
db56	f691	c774	0341
7a8f	d9dc	881b	06f4
7394	cb5b	5598	25e8
beda	d787	4d5b	edad
2ff0	069d	8959	f096
91a5	486b	ae8a	4373
4554	169a	9af9	47f8
3457	0028	f476	8377
2e04	9e61	7e46	c014
5072	40dd	6c9d	1d90
83cf	847b	dbd6	ff0b
322e	c0a5	040f	f003
4862	509a	aef6	5d99
9d7c	36fb	3517	b46e
efef	f70f	d9af	68a2
433f	8d04	ba9d	0657
08f9	6b67	605c	30d6
7ac0	e709	f5b0	53db
899c	245c	fd8c	e048
6632	a806	921f	bde3
4155	5efc	514d	7c25
992d	c06c	fc21	2daa
0f84	992e	a32c	d2cf
1ab1	20e0	ed03	b3b7
bfe3	64bc	5a98	a2d6
6d6f	fac7	2256	4311
aba3	54ff	e862	d685
c183	f435	9747	43ba
257d	3484	4372	4c53
51ce	0798	0d28	2578
701b	60c0	4e69	384c
6134	70a7	b484	bc9b
dc18	5d47	9610	bb67
3879	1596	6237	729d
2846	7c31	e689	a8ad
0c20	ff70	3fae	0a15
991f	c3bc	1eef	7fd6
8247	6c22	bd19	857b
a5a0	7009	2a15	049f
3242	dfa6	05ba	10d6
ecb1	3e5e	ea4f	3fd1
fc8d	0896	75ee	6215
cfb4	b63a	d4c2	2b5e
2911	3c2b	fcb7	2e25
ab1d	1a8c	5d6c	8a62
ef99	b470	bc88	fd09
bc34	b8d2	b459	c87d
7263	629a	0d50	2a41
7ddf	7838	7f09	3498
dafd	ef38	b041	0907
f5ca	9d67	1adf	f063
b4ad	c9e8	13b6	5a81
1c41	eda5	3915	9f4a
5ace	1e41	ac16	e772
a0cd	8480	05b6	5c8f
6b42	c14c	2e03	a380
fa1f	a0db	70db	34b1
8fe2	c689	04e8	f492
87d4	b884	fbd6	3233
ff54	abd8	d765	fd79
a703	3e0c	b9a8	7860
52bc	f873	dea9	4a67
d3f8	887c	1515	3917
576e	5e18	1b82	7513
efc9	57d3	76fb	6aef
9f9b	2336	4831	5afe
b2f2	c25c	0700	5c10
761e	9b59	0664	7cd1
f552	40da	f44d	460e
285e	10bb	fc27	d383
47d9	00e0	c1aa	99ce
37b2	2b5b	ec73	d25d
d6bf	2503	cace	0980
2698	df6e	da71	6177
8fa4	00e9	8574	24f4
93f3	6fd7	c6ba	4f4f
1881	a0d4	c11a	e5f1
8553	7d3b	d1fb	2d8d
5183	97d6	5dcd	15c3
9213	31ba	2ca0	acff
7fe1	33ce	a73d	298b
931f	9e57	f888	5b14
d84b	7082	d46b	559c
c3c2	2bf2	4dc7	eb82
7aa1	74b5	db17	44b2
1727	1b2b	8101	0559
b4a2	2cbd	fdbf	4096
aaa9	fc63	ceb5	1c02
3caf	39dc	833e	9d3b
3dbc	4249	1382	8f22
dc02	bcaf	0608	cdfc
f2b2	16aa	8a81	c8d3
e4b7	542c	0921	b2a4
703e	7195	941c	9407
59ec	ac52	991e	067f
b003	cfcc	732b	8c0e
11f5	2f55	f27a	94c1
68a6	aa1c	9619	adf1
c61b	89df	405a	f14e
1b42	aead	deb1	8e2e
7e0c	b1c3	933a	1af2
dda8	2441	91f5	4413
8902	94a8	b65f	4c27
3ccf	728b	91b5	cdca
ce51	27fb	f3b7	c5c4
5732	e0bb	5b3c	f2f1
af00	0b25	471d	d29d
6aa5	a3cf	bb60	ba9a
c7f4	ef10	0fad	d80c
3888	b3c1	79af	96d8
d2d2	85a6	79f9	a369
1477	f583	e6ec	6a15
3e0a	dc60	519d	dbbd
bbee	4eba	129e	7cd4
81ac	23f0	3e30	03aa
290c	9dbb	cd44	8336
9e5d	fb09	62c3	15f2
37f7	17d3	3698	4321
cb08	0601	9722	0417
b395	415b	8469	f125
ddbd	f854	9ec5	7cf4
db45	117a	a6a9	1403
00ff	d587	9c6c	2a49
77f0	acf9	b7df	a0b8
fe6f	1710	4b88	dea8
095d	3757	9c59	eec3
80c8	88ce	9234	d5fb
f182	b8bb	4850	c35a
b3ec	4b77	2d8c	644f
7eba	a6ce	fef1	e596
2491	ca1e	9782	dce4
8d14	88e2	c674	d461
ab24	1ee5	e2b7	ca5b
0991	af16	1dbe	b73a
69c8	8619	ccd7	5948
7970	7a45	9c33	6357
8a26	41f8	948d	f719
a727	2e33	6f55	98de
84ab	a477	ce1d	f035
92cb	53b4	5724	1f6c
a8c6	7080	9ea6	420e
3316	d61f	1896	dcc8
b82d	fe2f	85b5	0394
4f1c	2093	34eb	24e2
961c	2a2a	59fc	7d24
69b9	8f07	aad0	fb73
6786	0f28	0148	1e14
6cc5	eeee	c8fd	3d53
f60f	b77d	816b	5efb
bd3c	3f0f	b9a1	9044
93bc	cdfc	762f	f46c
8cc5	00f4	475b	08ed
c391	931b	7d56	95d6
361a	b996	119e	a6d8
7799	476d	a25c	b7c8
70e7	044a	750e	423d
e35b	5342	44d6	9cb5
816f	820d	84d0	144d
e046	4653	fd98	78d7
bd47	f853	77a6	973a
1f90	5d6d	7639	4883
8b80	8fb1	fc2e	c8f7
bb9a	8e86	4b5f	c4be
73bf	f438	98b1	116a
0dd3	1e4d	2c9a	845b
b8ce	6543	ce50	e3a8
515e	9ebd	d72b	9ed2
b38b	c18d	dfc7	b7f1
f750	d867	28fe	30b3
0efb	4b86	0e97	8dbe
df76	4cd7	5189	72b5
d4a8	a0ef	bcba	7756
d889	ef4b	d0f4	9387
4d2f	cf8a	8ac7	009f
ad0a	d1a9	0492	77f0
4124	33b4	1fe8	7e1f
c222	a95a	e9ba	9183
aa78	0c7d	6e76	6011
33f2	b093	284e	082f
d883	cb7e	0f33	c57c
4b02	0015	1355	fce0
5272	0a1e	e9d4	418e
8bd7	1459	7bd7	40c2
6020	41ef	3ad6	2f4f
be4b	921d	0039	3466
c62e	1fde	dc95	b10b
a2cc	3e82	71fc	22f4
5e23	3aa2	9abf	8b11
3833	d45b	f830	efad
2eed	4c6b	3a01	8b6d
39f2	a284	f86d	f581
9ee1	7808	a5b0	2cbc
93ff	7c6b	340c	9f1a
e7f2	c99d	71a4	091e
4056	d0c5	8e49	48ef
4949	7514	fb2a	725f
bf63	fabd	5e12	c273
87db	269d	d81d	9f2d
b598	71be	f7f8	3bbf
e8ef	1029	917f	5c16
e366	7aeb	f95e	7563
04f0	e284	1065	1849
4f0b	87ca	0a26	7429
a6ad	8a02	56f7	c7ed
58fa	bb41	5c52	a8dd
0ae3	9a3f	703c	a600
d92f	0605	dcaa	ca52
f617	bdfa	1738	f707
609f	8ba9	61db	f7bd
e2bd	bb7e	1c58	3490
597c	0487	0e36	611b
0046	3b45	4d75	daec
903b	edc2	885c	1520
0564	2c8b	222e	9027
8621	d8b6	8e4d	e7ee
5973	9098	e2f6	cc3e
ca15	b168	0c57	3b0e
e28a	732a	c11f	c3b9
4ef3	2e99	5aa1	a1f0
87f7	dee5	11fd	aa23
0aa9	c5bd	8d7e	a7ad
142e	43c1	8241	1bdb
2cf7	c52e	66d9	4250
7376	1375	bf6d	06a8
d6af	43ca	41ca	09b2
789a	622d	8ab5	1a48
0e97	7fd0	256f	8a07
8761	c10e	33b4	161c
130e	1ae0	7c4b	8129
f786	1bc6	d934	dcc2
5329	bef3	8764	7fde
8c52	79bd	aff2	360b
11b0	5124	12b5	17f9
f052	6529	85fe	127f
aade	2927	9181	1ae0
c79f	1a12	2cb6	c746
350b	af8e	9cd7	a43d
0a43	ac6b	bb47	cf61
edbe	df61	2548	c517
c1dd	9407	d15e	d76f
c67c	796f	b4fe	e8e4
e560	2f44	60f8	7631
bdf2	5181	6aa1	be50
55b5	f6c0	f4a8	e61b
d142	6d5c	2ad9	c267
6516	59a5	b0cb	fd9f
e5af	e7c3	8707	bf0d
7462	6031	ff05	45d7
48bd	b3da	6e4e	88ce
c8f0	1b60	92c8	5d01
6746	6a45	ebd1	a827
0786	a4f3	67dc	2698
fc40	9149	320d	6377
4de4	90dc	9428	1b36
fd75	8f89	2c49	85c5
31bd	664a	1109	542e
babe	5938	bfa6	a6ae
9ccb	b443	3c82	3607
b88a	22d9	fb59	e58d
accc	333a	2dc8	489a
1d44	b06d	7a83	a007
226b	8944	11f5	edde
b316	68ad	9640	bcdf
23e4	efac	9c71	ff0d
3019	457d	f300	0465
08aa	b881	0742	c41a
a575	5ce4	8900	26e0
18bc	2567	093a	6d83
e8b2	6855	bc17	97ec
828c	06cf	d785	c10d
6726	b873	9531	d11a
5c46	e6a6	4c09	604c
bcd6	3cf9	6663	0912
ab43	4ba9	19cd	02ac
54f6	7b6e	da46	d7e0
1257	01d6	a0d5	1928
b546	aa10	b5fb	2484
25c3	e19f	a173	ec88
262d	bc85	5242	70d6
63af	8231	0286	6a05
a98f	a2ca	c36a	d537
97c7	4485	f7ff	e3a2
1aab	460c	f092	a132
fbb7	e355	3ca5	3250
8447	ec18	3e75	7ab2
9453	6bfb	d513	eafa
cbbe	1308	a647	7274
be0b	12aa	900b	91e6
3303	1c59	87f7	7c52
2f0d	8ee1	2946	42a9
4a3b	3338	cb2e	fb87
ae0d	f479	468b	2c46
99ef	3531	4865	fbf4
5884	430c	90f6	f8da
0e59	aa32	af28	e115
31b8	bdaa	eda1	74c1
506e	1701	4215	b5a5
f1ef	c3c5	de98	f536
8dfd	ee3e	b59f	e32b
a1f3	6c4b	ce5b	c99c
25c1	cd1b	62f1	0bd6
0064	1130	b2f7	efdc
791f	a940	1b34	e860
fbff	cb81	d273	58fc
26f0	144d	5f61	d379
a45d	7b9f	f672	a81b
7954	c63a	df3a	53e0
de7a	1c4c	81b0	b26c
27e2	d6d2	4b97	6cb8
72d6	1e3e	e0f1	f20d
0384	9b3f	96b2	8248
68d5	b3e3	f5cd	64b6
4579	dc52	4fc0	9cd7
77c6	4471	ce4f	9d66
a4f0	092f	e5e0	7a03
7764	0082	6504	5f9f
fd7d	f8cb	0daa	2617
e382	95dc	b44f	cf9a
7e28	a09f	cf63	b597
474d	bfc6	c2e3	f0a8
d96c	8b27	38a9	50df
